[Syscall Table from C:\Windows\System32\ntdll.dll]

---------------------------------------------------------------------------------
| Syscall Name                                          | Number | Number (hex) |
| NtGdiDoPalette                                          | 4162   | 0x1042       |
| NtGdiDrawEscape                                         | 4721   | 0x1271       |
| NtGdiDrawStream                                         | 4188   | 0x105C       |
| NtGdiDwmCreatedBitmapRemotingOutput                     | 4722   | 0x1272       |
| NtGdiEllipse                                            | 4723   | 0x1273       |
| NtGdiEnableEudc                                         | 4724   | 0x1274       |
| NtGdiEndDoc                                             | 4725   | 0x1275       |
| NtGdiEndGdiRendering                                    | 4726   | 0x1276       |
| NtGdiEndPage                                            | 4727   | 0x1277       |
| NtGdiEndPath                                            | 4343   | 0x10F7       |
| NtGdiEngAlphaBlend                                      | 4728   | 0x1278       |
| NtGdiEngAssociateSurface                                | 4729   | 0x1279       |
| NtGdiEngBitBlt                                          | 4730   | 0x127A       |
| NtGdiEngCheckAbort                                      | 4731   | 0x127B       |
| NtGdiEngComputeGlyphSet                                 | 4732   | 0x127C       |
| NtGdiEngCopyBits                                        | 4733   | 0x127D       |
| NtGdiEngCreateBitmap                                    | 4734   | 0x127E       |
| NtGdiEngCreateClip                                      | 4735   | 0x127F       |
| NtGdiEngCreateDeviceBitmap                              | 4736   | 0x1280       |
| NtGdiEngCreateDeviceSurface                             | 4737   | 0x1281       |
| NtGdiEngCreatePalette                                   | 4738   | 0x1282       |
| NtGdiEngDeleteClip                                      | 4739   | 0x1283       |
| NtGdiEngDeletePalette                                   | 4740   | 0x1284       |
| NtGdiEngDeletePath                                      | 4741   | 0x1285       |
| NtGdiEngDeleteSurface                                   | 4742   | 0x1286       |
| NtGdiEngEraseSurface                                    | 4743   | 0x1287       |
| NtGdiEngFillPath                                        | 4744   | 0x1288       |
| NtGdiEngGradientFill                                    | 4745   | 0x1289       |
| NtGdiEngLineTo                                          | 4746   | 0x128A       |
| NtGdiEngLockSurface                                     | 4747   | 0x128B       |
| NtGdiEngMarkBandingSurface                              | 4748   | 0x128C       |
| NtGdiEngPaint                                           | 4749   | 0x128D       |
| NtGdiEngPlgBlt                                          | 4750   | 0x128E       |
| NtGdiEngStretchBlt                                      | 4751   | 0x128F       |
| NtGdiEngStretchBltROP                                   | 4752   | 0x1290       |
| NtGdiEngStrokeAndFillPath                               | 4753   | 0x1291       |
| NtGdiEngStrokePath                                      | 4754   | 0x1292       |
| NtGdiEngTextOut                                         | 4755   | 0x1293       |
| NtGdiEngTransparentBlt                                  | 4756   | 0x1294       |
| NtGdiEngUnlockSurface                                   | 4757   | 0x1295       |
| NtGdiEnsureDpiDepDefaultGuiFontForPlateau               | 4758   | 0x1296       |
| NtGdiEnumFonts                                          | 4759   | 0x1297       |
| NtGdiEnumObjects                                        | 4760   | 0x1298       |
| NtGdiEqualRgn                                           | 4349   | 0x10FD       |
| NtGdiEudcLoadUnloadLink                                 | 4761   | 0x1299       |
| NtGdiExcludeClipRect                                    | 4241   | 0x1091       |
| NtGdiExtCreatePen                                       | 4253   | 0x109D       |
| NtGdiExtCreateRegion                                    | 4226   | 0x1082       |
| NtGdiExtEscape                                          | 4354   | 0x1102       |
| NtGdiExtFloodFill                                       | 4762   | 0x129A       |
| NtGdiExtGetObjectW                                      | 4173   | 0x104D       |
| NtGdiExtSelectClipRgn                                   | 4137   | 0x1029       |
| NtGdiExtTextOutW                                        | 4147   | 0x1033       |
| NtGdiFONTOBJ_cGetAllGlyphHandles                        | 4763   | 0x129B       |
| NtGdiFONTOBJ_cGetGlyphs                                 | 4764   | 0x129C       |
| NtGdiFONTOBJ_pQueryGlyphAttrs                           | 4765   | 0x129D       |
| NtGdiFONTOBJ_pfdg                                       | 4766   | 0x129E       |
| NtGdiFONTOBJ_pifi                                       | 4767   | 0x129F       |
| NtGdiFONTOBJ_pvTrueTypeFontFile                         | 4768   | 0x12A0       |
| NtGdiFONTOBJ_pxoGetXform                                | 4769   | 0x12A1       |
| NtGdiFONTOBJ_vGetInfo                                   | 4770   | 0x12A2       |
| NtGdiFillPath                                           | 4344   | 0x10F8       |
| NtGdiFillRgn                                            | 4289   | 0x10C1       |
| NtGdiFlattenPath                                        | 4771   | 0x12A3       |
| NtGdiFlush                                              | 4112   | 0x1010       |
| NtGdiFontIsLinked                                       | 4772   | 0x12A4       |
| NtGdiForceUFIMapping                                    | 4773   | 0x12A5       |
| NtGdiFrameRgn                                           | 4774   | 0x12A6       |
| NtGdiFullscreenControl                                  | 4775   | 0x12A7       |
| NtGdiGetAndSetDCDword                                   | 4193   | 0x1061       |
| NtGdiGetAppClipBox                                      | 4158   | 0x103E       |
| NtGdiGetBitmapBits                                      | 4299   | 0x10CB       |
| NtGdiGetBitmapDimension                                 | 4329   | 0x10E9       |
| NtGdiGetBitmapDpiScaleValue                             | 4776   | 0x12A8       |
| NtGdiGetBoundsRect                                      | 4777   | 0x12A9       |
| NtGdiGetCOPPCompatibleOPMInformation                    | 4778   | 0x12AA       |
| NtGdiGetCertificate                                     | 4779   | 0x12AB       |
| NtGdiGetCertificateByHandle                             | 4780   | 0x12AC       |
| NtGdiGetCertificateSize                                 | 4781   | 0x12AD       |
| NtGdiGetCertificateSizeByHandle                         | 4782   | 0x12AE       |
| NtGdiGetCharABCWidthsW                                  | 4783   | 0x12AF       |
| NtGdiGetCharSet                                         | 4103   | 0x1007       |
| NtGdiGetCharWidthInfo                                   | 4282   | 0x10BA       |
| NtGdiGetCharWidthW                                      | 4277   | 0x10B5       |
| NtGdiGetCharacterPlacementW                             | 4784   | 0x12B0       |
| NtGdiGetColorAdjustment                                 | 4785   | 0x12B1       |
| NtGdiGetColorSpaceforBitmap                             | 4786   | 0x12B2       |
| NtGdiGetCurrentDpiInfo                                  | 4787   | 0x12B3       |
| NtGdiGetDCDpiScaleValue                                 | 4788   | 0x12B4       |
| NtGdiGetDCDword                                         | 4154   | 0x103A       |
| NtGdiGetDCObject                                        | 4144   | 0x1030       |
| NtGdiGetDCPoint                                         | 4204   | 0x106C       |
| NtGdiGetDCforBitmap                                     | 4243   | 0x1093       |
| NtGdiGetDIBitsInternal                                  | 4221   | 0x107D       |
| NtGdiGetDeviceCaps                                      | 4789   | 0x12B5       |
| NtGdiGetDeviceCapsAll                                   | 4790   | 0x12B6       |
| NtGdiGetDeviceWidth                                     | 4791   | 0x12B7       |
| NtGdiGetDhpdev                                          | 4792   | 0x12B8       |
| NtGdiGetETM                                             | 4793   | 0x12B9       |
| NtGdiGetEmbUFI                                          | 4794   | 0x12BA       |
| NtGdiGetEmbedFonts                                      | 4795   | 0x12BB       |
| NtGdiGetEntry                                           | 4796   | 0x12BC       |
| NtGdiGetEudcTimeStampEx                                 | 4797   | 0x12BD       |
| NtGdiGetFontData                                        | 4292   | 0x10C4       |
| NtGdiGetFontFileData                                    | 4798   | 0x12BE       |
| NtGdiGetFontFileInfo                                    | 4799   | 0x12BF       |
| NtGdiGetFontResourceInfoInternalW                       | 4800   | 0x12C0       |
| NtGdiGetFontUnicodeRanges                               | 4801   | 0x12C1       |
| NtGdiGetGlyphIndicesW                                   | 4802   | 0x12C2       |
| NtGdiGetGlyphIndicesWInternal                           | 4803   | 0x12C3       |
| NtGdiGetGlyphOutline                                    | 4804   | 0x12C4       |
| NtGdiGetKerningPairs                                    | 4805   | 0x12C5       |
| NtGdiGetLinkedUFIs                                      | 4806   | 0x12C6       |
| NtGdiGetMiterLimit                                      | 4807   | 0x12C7       |
| NtGdiGetMonitorID                                       | 4808   | 0x12C8       |
| NtGdiGetNearestColor                                    | 4202   | 0x106A       |
| NtGdiGetNearestPaletteIndex                             | 4276   | 0x10B4       |
| NtGdiGetNumberOfPhysicalMonitors                        | 4809   | 0x12C9       |
| NtGdiGetOPMInformation                                  | 4810   | 0x12CA       |
| NtGdiGetOPMRandomNumber                                 | 4811   | 0x12CB       |
| NtGdiGetObjectBitmapHandle                              | 4812   | 0x12CC       |
| NtGdiGetOutlineTextMetricsInternalW                     | 4261   | 0x10A5       |
| NtGdiGetPath                                            | 4813   | 0x12CD       |
| NtGdiGetPerBandInfo                                     | 4814   | 0x12CE       |
| NtGdiGetPhysicalMonitorDescription                      | 4815   | 0x12CF       |
| NtGdiGetPhysicalMonitors                                | 4816   | 0x12D0       |
| NtGdiGetPixel                                           | 4273   | 0x10B1       |
| NtGdiGetProcessSessionFonts                             | 4817   | 0x12D1       |
| NtGdiGetPublicFontTableChangeCookie                     | 4818   | 0x12D2       |
| NtGdiGetRandomRgn                                       | 4134   | 0x1026       |
| NtGdiGetRasterizerCaps                                  | 4308   | 0x10D4       |
| NtGdiGetRealizationInfo                                 | 4819   | 0x12D3       |
| NtGdiGetRegionData                                      | 4155   | 0x103B       |
| NtGdiGetRgnBox                                          | 4192   | 0x1060       |
| NtGdiGetServerMetaFileBits                              | 4820   | 0x12D4       |
| NtGdiGetSpoolMessage                                    | 4821   | 0x12D5       |
| NtGdiGetStats                                           | 4822   | 0x12D6       |
| NtGdiGetStringBitmapW                                   | 4823   | 0x12D7       |
| NtGdiGetSuggestedOPMProtectedOutputArraySize            | 4824   | 0x12D8       |
| NtGdiGetSystemPaletteUse                                | 4350   | 0x10FE       |
| NtGdiGetTextCharsetInfo                                 | 4168   | 0x1048       |
| NtGdiGetTextExtent                                      | 4236   | 0x108C       |
| NtGdiGetTextExtentExW                                   | 4825   | 0x12D9       |
| NtGdiGetTextFaceW                                       | 4216   | 0x1078       |
| NtGdiGetTextMetricsW                                    | 4206   | 0x106E       |
| NtGdiGetTransform                                       | 4297   | 0x10C9       |
| NtGdiGetUFI                                             | 4826   | 0x12DA       |
| NtGdiGetUFIPathname                                     | 4827   | 0x12DB       |
| NtGdiGetWidthTable                                      | 4195   | 0x1063       |
| NtGdiGradientFill                                       | 4828   | 0x12DC       |
| NtGdiHLSurfGetInformation                               | 4829   | 0x12DD       |
| NtGdiHLSurfSetInformation                               | 4830   | 0x12DE       |
| NtGdiHT_Get8BPPFormatPalette                            | 4831   | 0x12DF       |
| NtGdiHT_Get8BPPMaskPalette                              | 4832   | 0x12E0       |
| NtGdiHfontCreate                                        | 4183   | 0x1057       |
| NtGdiIcmBrushInfo                                       | 4833   | 0x12E1       |
| NtGdiInit                                               | 4834   | 0x12E2       |
| NtGdiInitSpool                                          | 4835   | 0x12E3       |
| NtGdiIntersectClipRect                                  | 4126   | 0x101E       |
| NtGdiInvertRgn                                          | 4191   | 0x105F       |
| NtGdiLineTo                                             | 4156   | 0x103C       |
| NtGdiMakeFontDir                                        | 4836   | 0x12E4       |
| NtGdiMakeInfoDC                                         | 4837   | 0x12E5       |
| NtGdiMakeObjectUnXferable                               | 4838   | 0x12E6       |
| NtGdiMakeObjectXferable                                 | 4839   | 0x12E7       |
| NtGdiMaskBlt                                            | 4194   | 0x1062       |
| NtGdiMirrorWindowOrg                                    | 4840   | 0x12E8       |
| NtGdiModifyWorldTransform                               | 4291   | 0x10C3       |
| NtGdiMonoBitmap                                         | 4841   | 0x12E9       |
| NtGdiMoveTo                                             | 4842   | 0x12EA       |
| NtGdiOffsetClipRgn                                      | 4843   | 0x12EB       |
| NtGdiOffsetRgn                                          | 4214   | 0x1076       |
| NtGdiOpenDCW                                            | 4295   | 0x10C7       |
| NtGdiPATHOBJ_bEnum                                      | 4844   | 0x12EC       |
| NtGdiPATHOBJ_bEnumClipLines                             | 4845   | 0x12ED       |
| NtGdiPATHOBJ_vEnumStart                                 | 4846   | 0x12EE       |
| NtGdiPATHOBJ_vEnumStartClipLines                        | 4847   | 0x12EF       |
| NtGdiPATHOBJ_vGetBounds                                 | 4848   | 0x12F0       |
| NtGdiPatBlt                                             | 4180   | 0x1054       |
| NtGdiPathToRegion                                       | 4849   | 0x12F1       |
| NtGdiPlgBlt                                             | 4850   | 0x12F2       |
| NtGdiPolyDraw                                           | 4851   | 0x12F3       |
| NtGdiPolyPatBlt                                         | 4200   | 0x1068       |
| NtGdiPolyPolyDraw                                       | 4163   | 0x1043       |
| NtGdiPolyTextOutW                                       | 4852   | 0x12F4       |
| NtGdiPtInRegion                                         | 4853   | 0x12F5       |
| NtGdiPtVisible                                          | 4854   | 0x12F6       |
| NtGdiQueryFontAssocInfo                                 | 4322   | 0x10E2       |
| NtGdiQueryFonts                                         | 4855   | 0x12F7       |
| NtGdiRectInRegion                                       | 4271   | 0x10AF       |
| NtGdiRectVisible                                        | 4142   | 0x102E       |
| NtGdiRectangle                                          | 4232   | 0x1088       |
| NtGdiRemoveFontMemResourceEx                            | 4351   | 0x10FF       |
| NtGdiRemoveFontResourceW                                | 4856   | 0x12F8       |
| NtGdiRemoveMergeFont                                    | 4857   | 0x12F9       |
| NtGdiResetDC                                            | 4858   | 0x12FA       |
| NtGdiResizePalette                                      | 4859   | 0x12FB       |
| NtGdiRestoreDC                                          | 4149   | 0x1035       |
| NtGdiRoundRect                                          | 4860   | 0x12FC       |
| NtGdiSTROBJ_bEnum                                       | 4861   | 0x12FD       |
| NtGdiSTROBJ_bEnumPositionsOnly                          | 4862   | 0x12FE       |
| NtGdiSTROBJ_bGetAdvanceWidths                           | 4863   | 0x12FF       |
| NtGdiSTROBJ_dwGetCodePage                               | 4864   | 0x1300       |
| NtGdiSTROBJ_vEnumStart                                  | 4865   | 0x1301       |
| NtGdiSaveDC                                             | 4150   | 0x1036       |
| NtGdiScaleRgn                                           | 4866   | 0x1302       |
| NtGdiScaleValues                                        | 4867   | 0x1303       |
| NtGdiScaleViewportExtEx                                 | 4868   | 0x1304       |
| NtGdiScaleWindowExtEx                                   | 4869   | 0x1305       |
| NtGdiSelectBitmap                                       | 4105   | 0x1009       |
| NtGdiSelectBrush                                        | 4870   | 0x1306       |
| NtGdiSelectClipPath                                     | 4871   | 0x1307       |
| NtGdiSelectFont                                         | 4148   | 0x1034       |
| NtGdiSelectPen                                          | 4872   | 0x1308       |
| NtGdiSetBitmapAttributes                                | 4873   | 0x1309       |
| NtGdiSetBitmapBits                                      | 4262   | 0x10A6       |
| NtGdiSetBitmapDimension                                 | 4355   | 0x1103       |
| NtGdiSetBoundsRect                                      | 4328   | 0x10E8       |
| NtGdiSetBrushAttributes                                 | 4874   | 0x130A       |
| NtGdiSetBrushOrg                                        | 4255   | 0x109F       |
| NtGdiSetColorAdjustment                                 | 4875   | 0x130B       |
| NtGdiSetColorSpace                                      | 4876   | 0x130C       |
| NtGdiSetDIBitsToDeviceInternal                          | 4133   | 0x1025       |
| NtGdiSetFontEnumeration                                 | 4356   | 0x1104       |
| NtGdiSetFontXform                                       | 4877   | 0x130D       |
| NtGdiSetIcmMode                                         | 4878   | 0x130E       |
| NtGdiSetLayout                                          | 4238   | 0x108E       |
| NtGdiSetLinkedUFIs                                      | 4879   | 0x130F       |
| NtGdiSetMagicColors                                     | 4880   | 0x1310       |
| NtGdiSetMetaRgn                                         | 4305   | 0x10D1       |
| NtGdiSetMiterLimit                                      | 4306   | 0x10D2       |
| NtGdiSetOPMSigningKeyAndSequenceNumbers                 | 4881   | 0x1311       |
| NtGdiSetPUMPDOBJ                                        | 4882   | 0x1312       |
| NtGdiSetPixel                                           | 4257   | 0x10A1       |
| NtGdiSetPixelFormat                                     | 4883   | 0x1313       |
| NtGdiSetRectRgn                                         | 4884   | 0x1314       |
| NtGdiSetSizeDevice                                      | 4885   | 0x1315       |
| NtGdiSetSystemPaletteUse                                | 4886   | 0x1316       |
| NtGdiSetTextJustification                               | 4887   | 0x1317       |
| NtGdiSetUMPDSandboxState                                | 4888   | 0x1318       |
| NtGdiSetVirtualResolution                               | 4307   | 0x10D3       |
| NtGdiStartDoc                                           | 4889   | 0x1319       |
| NtGdiStartPage                                          | 4890   | 0x131A       |
| NtGdiStretchBlt                                         | 4140   | 0x102C       |
| NtGdiStretchDIBitsInternal                              | 4217   | 0x1079       |
| NtGdiStrokeAndFillPath                                  | 4891   | 0x131B       |
| NtGdiStrokePath                                         | 4892   | 0x131C       |
| NtGdiSwapBuffers                                        | 4893   | 0x131D       |
| NtGdiTransformPoints                                    | 4203   | 0x106B       |
| NtGdiTransparentBlt                                     | 4894   | 0x131E       |
| NtGdiUMPDEngFreeUserMem                                 | 4895   | 0x131F       |
| NtGdiUnloadPrinterDriver                                | 4896   | 0x1320       |
| NtGdiUnmapMemFont                                       | 4897   | 0x1321       |
| NtGdiUnrealizeObject                                    | 4230   | 0x1086       |
| NtGdiUpdateColors                                       | 4898   | 0x1322       |
| NtGdiUpdateTransform                                    | 4899   | 0x1323       |
| NtGdiWaitForTextReady                                   | 4900   | 0x1324       |
| NtGdiWidenPath                                          | 4901   | 0x1325       |
| NtGdiXFORMOBJ_bApplyXform                               | 4902   | 0x1326       |
| NtGdiXFORMOBJ_iGetXform                                 | 4903   | 0x1327       |
| NtGdiXLATEOBJ_cGetPalette                               | 4904   | 0x1328       |
| NtGdiXLATEOBJ_hGetColorTransform                        | 4905   | 0x1329       |
| NtGdiXLATEOBJ_iXlate                                    | 4906   | 0x132A       |
| NtHWCursorUpdatePointer                                 | 4908   | 0x132C       |
| NtInputSpaceRegionFromPoint                             | 4909   | 0x132D       |
| NtIsOneCoreTransformMode                                | 4910   | 0x132E       |
| NtKSTInitialize                                         | 4911   | 0x132F       |
| NtKSTWait                                               | 4912   | 0x1330       |
| NtMITAccessibilityTimerNotification                     | 4913   | 0x1331       |
| NtMITActivateInputProcessing                            | 4914   | 0x1332       |
| NtMITConfigureVirtualTouchpad                           | 4915   | 0x1333       |
| NtMITCoreMsgKOpenConnectionTo                           | 4916   | 0x1334       |
| NtMITDeactivateInputProcessing                          | 4917   | 0x1335       |
| NtMITDisableMouseIntercept                              | 4918   | 0x1336       |
| NtMITDispatchCompletion                                 | 4919   | 0x1337       |
| NtMITEnableMouseIntercept                               | 4920   | 0x1338       |
| NtMITGetCursorUpdateHandle                              | 4921   | 0x1339       |
| NtMITInitMinuserThread                                  | 4922   | 0x133A       |
| NtMITMinuserSetInputTransformOffset                     | 4923   | 0x133B       |
| NtMITMinuserWindowDestroyed                             | 4924   | 0x133C       |
| NtMITPostMouseInputMessage                              | 4925   | 0x133D       |
| NtMITPostThreadEventMessage                             | 4926   | 0x133E       |
| NtMITPostWindowEventMessage                             | 4927   | 0x133F       |
| NtMITPrepareReceiveInputMessage                         | 4928   | 0x1340       |
| NtMITPrepareSendInputMessage                            | 4929   | 0x1341       |
| NtMITProcessDelegateCapturedPointers                    | 4930   | 0x1342       |
| NtMITSetInputCallbacks                                  | 4931   | 0x1343       |
| NtMITSetInputDelegationMode                             | 4932   | 0x1344       |
| NtMITSetInputObservationState                           | 4933   | 0x1345       |
| NtMITSetKeyboardInputRoutingPolicy                      | 4934   | 0x1346       |
| NtMITSetKeyboardOverriderState                          | 4935   | 0x1347       |
| NtMITSetLastInputRecipient                              | 4936   | 0x1348       |
| NtMITSynthesizeKeyboardInput                            | 4937   | 0x1349       |
| NtMITSynthesizeMouseInput                               | 4938   | 0x134A       |
| NtMITSynthesizeTouchInput                               | 4939   | 0x134B       |
| NtMITUninitMinuserThread                                | 4940   | 0x134C       |
| NtMITUpdateInputGlobals                                 | 4941   | 0x134D       |
| NtMapVisualRelativePoints                               | 4942   | 0x134E       |
| NtMinGetInputTransform                                  | 4943   | 0x134F       |
| NtMinInteropCoreMessagingWithInput                      | 4944   | 0x1350       |
| NtMinQPeekForInput                                      | 4945   | 0x1351       |
| NtMinQSuspendInputProcessing                            | 4946   | 0x1352       |
| NtMinQUpdateWakeMask                                    | 4947   | 0x1353       |
| NtModerncoreBeginLayoutUpdate                           | 4948   | 0x1354       |
| NtModerncoreCreateDCompositionHwndTarget                | 4949   | 0x1355       |
| NtModerncoreCreateGDIHwndTarget                         | 4950   | 0x1356       |
| NtModerncoreDestroyDCompositionHwndTarget               | 4951   | 0x1357       |
| NtModerncoreDestroyGDIHwndTarget                        | 4952   | 0x1358       |
| NtModerncoreEnableResizeLayoutSynchronization           | 4953   | 0x1359       |
| NtModerncoreGetNavigationWindowVisual                   | 4954   | 0x135A       |
| NtModerncoreGetResizeDCompositionSynchronizationObject  | 4955   | 0x135B       |
| NtModerncoreGetWindowContentVisual                      | 4956   | 0x135C       |
| NtModerncoreIdleTimerThread                             | 4957   | 0x135D       |
| NtModerncoreIsResizeLayoutSynchronizationEnabled        | 4958   | 0x135E       |
| NtModerncoreProcessConnect                              | 4959   | 0x135F       |
| NtModerncoreRegisterEnhancedNavigationWindowHandle      | 4960   | 0x1360       |
| NtModerncoreRegisterNavigationWindowHandle              | 4961   | 0x1361       |
| NtModerncoreSetNavigationServiceSid                     | 4962   | 0x1362       |
| NtModerncoreUnregisterNavigationWindowHandle            | 4963   | 0x1363       |
| NtNotifyPresentToCompositionSurface                     | 4964   | 0x1364       |
| NtOpenCompositionSurfaceDirtyRegion                     | 4965   | 0x1365       |
| NtOpenCompositionSurfaceRealizationInfo                 | 4966   | 0x1366       |
| NtOpenCompositionSurfaceSectionInfo                     | 4967   | 0x1367       |
| NtQueryCompositionInputIsImplicit                       | 4968   | 0x1368       |
| NtQueryCompositionInputQueueAndTransform                | 4969   | 0x1369       |
| NtQueryCompositionInputSink                             | 4970   | 0x136A       |
| NtQueryCompositionInputSinkLuid                         | 4971   | 0x136B       |
| NtQueryCompositionInputSinkViewId                       | 4972   | 0x136C       |
| NtQueryCompositionSurfaceBinding                        | 4973   | 0x136D       |
| NtQueryCompositionSurfaceFrameRate                      | 4974   | 0x136E       |
| NtQueryCompositionSurfaceHDRMetaData                    | 4975   | 0x136F       |
| NtQueryCompositionSurfaceRenderingRealization           | 4976   | 0x1370       |
| NtQueryCompositionSurfaceStatistics                     | 4977   | 0x1371       |
| NtRIMAddInputObserver                                   | 4978   | 0x1372       |
| NtRIMAreSiblingDevices                                  | 4979   | 0x1373       |
| NtRIMDeviceIoControl                                    | 4980   | 0x1374       |
| NtRIMEnableMonitorMappingForDevice                      | 4981   | 0x1375       |
| NtRIMFreeInputBuffer                                    | 4982   | 0x1376       |
| NtRIMGetDevicePreparsedData                             | 4983   | 0x1377       |
| NtRIMGetDevicePreparsedDataLockfree                     | 4984   | 0x1378       |
| NtRIMGetDeviceProperties                                | 4985   | 0x1379       |
| NtRIMGetDevicePropertiesLockfree                        | 4986   | 0x137A       |
| NtRIMGetPhysicalDeviceRect                              | 4987   | 0x137B       |
| NtRIMGetSourceProcessId                                 | 4988   | 0x137C       |
| NtRIMObserveNextInput                                   | 4989   | 0x137D       |
| NtRIMOnAsyncPnpWorkNotification                         | 4990   | 0x137E       |
| NtRIMOnPnpNotification                                  | 4991   | 0x137F       |
| NtRIMOnTimerNotification                                | 4992   | 0x1380       |
| NtRIMQueryDevicePath                                    | 4993   | 0x1381       |
| NtRIMReadInput                                          | 4994   | 0x1382       |
| NtRIMRegisterForInputEx                                 | 4995   | 0x1383       |
| NtRIMRemoveInputObserver                                | 4996   | 0x1384       |
| NtRIMSetDeadzoneRotation                                | 4997   | 0x1385       |
| NtRIMSetExtendedDeviceProperty                          | 4998   | 0x1386       |
| NtRIMSetTestModeStatus                                  | 4999   | 0x1387       |
| NtRIMUnregisterForInput                                 | 5000   | 0x1388       |
| NtRIMUpdateInputObserverRegistration                    | 5001   | 0x1389       |
| NtSetCompositionSurfaceAnalogExclusive                  | 5002   | 0x138A       |
| NtSetCompositionSurfaceBufferUsage                      | 5003   | 0x138B       |
| NtSetCompositionSurfaceDirectFlipState                  | 5004   | 0x138C       |
| NtSetCompositionSurfaceIndependentFlipInfo              | 5005   | 0x138D       |
| NtSetCompositionSurfaceStatistics                       | 5006   | 0x138E       |
| NtSetCursorInputSpace                                   | 5007   | 0x138F       |
| NtSetPointerDeviceInputSpace                            | 5008   | 0x1390       |
| NtSetShellCursorState                                   | 5009   | 0x1391       |
| NtTokenManagerConfirmOutstandingAnalogToken             | 5010   | 0x1392       |
| NtTokenManagerCreateCompositionTokenHandle              | 5011   | 0x1393       |
| NtTokenManagerCreateFlipObjectReturnTokenHandle         | 5012   | 0x1394       |
| NtTokenManagerCreateFlipObjectTokenHandle               | 5013   | 0x1395       |
| NtTokenManagerGetAnalogExclusiveSurfaceUpdates          | 5014   | 0x1396       |
| NtTokenManagerGetAnalogExclusiveTokenEvent              | 5015   | 0x1397       |
| NtTokenManagerOpenSectionAndEvents                      | 5016   | 0x1398       |
| NtTokenManagerThread                                    | 5017   | 0x1399       |
| NtUnBindCompositionSurface                              | 5018   | 0x139A       |
| NtUpdateInputSinkTransforms                             | 5019   | 0x139B       |
| NtUserAcquireIAMKey                                     | 5020   | 0x139C       |
| NtUserAcquireInteractiveControlBackgroundAccess         | 5021   | 0x139D       |
| NtUserActivateKeyboardLayout                            | 4362   | 0x110A       |
| NtUserAddClipboardFormatListener                        | 5022   | 0x139E       |
| NtUserAddVisualIdentifier                               | 5023   | 0x139F       |
| NtUserAllowSetForegroundWindow                          | 5024   | 0x13A0       |
| NtUserAlterWindowStyle                                  | 4288   | 0x10C0       |
| NtUserArrangeIconicWindows                              | 5025   | 0x13A1       |
| NtUserAssociateInputContext                             | 5026   | 0x13A2       |
| NtUserAttachThreadInput                                 | 4313   | 0x10D9       |
| NtUserAutoPromoteMouseInPointer                         | 5027   | 0x13A3       |
| NtUserAutoRotateScreen                                  | 5028   | 0x13A4       |
| NtUserBeginDeferWindowPos                               | 5029   | 0x13A5       |
| NtUserBeginLayoutUpdate                                 | 5030   | 0x13A6       |
| NtUserBeginPaint                                        | 4117   | 0x1015       |
| NtUserBitBltSysBmp                                      | 4281   | 0x10B9       |
| NtUserBlockInput                                        | 5031   | 0x13A7       |
| NtUserBroadcastImeShowStatusChange                      | 5032   | 0x13A8       |
| NtUserBroadcastThemeChangeEvent                         | 5033   | 0x13A9       |
| NtUserBuildHimcList                                     | 5034   | 0x13AA       |
| NtUserBuildHwndList                                     | 4122   | 0x101A       |
| NtUserBuildNameList                                     | 4256   | 0x10A0       |
| NtUserBuildPropList                                     | 5035   | 0x13AB       |
| NtUserCalcMenuBar                                       | 4239   | 0x108F       |
| NtUserCalculatePopupWindowPosition                      | 5036   | 0x13AC       |
| NtUserCallMsgFilter                                     | 4115   | 0x1013       |
| NtUserCallNextHookEx                                    | 4124   | 0x101C       |
| NtUserCanBrokerForceForeground                          | 5037   | 0x13AD       |
| NtUserCancelQueueEventCompletionPacket                  | 5038   | 0x13AE       |
| NtUserChangeClipboardChain                              | 4357   | 0x1105       |
| NtUserChangeDisplaySettings                             | 5039   | 0x13AF       |
| NtUserChangeWindowMessageFilter                         | 5040   | 0x13B0       |
| NtUserChangeWindowMessageFilterEx                       | 5041   | 0x13B1       |
| NtUserCheckAccessForIntegrityLevel                      | 5042   | 0x13B2       |
| NtUserCheckImeShowStatusInThread                        | 5043   | 0x13B3       |
| NtUserCheckMenuItem                                     | 4336   | 0x10F0       |
| NtUserCheckProcessForClipboardAccess                    | 5044   | 0x13B4       |
| NtUserCheckProcessSession                               | 5045   | 0x13B5       |
| NtUserCheckWindowThreadDesktop                          | 5046   | 0x13B6       |
| NtUserChildWindowFromPointEx                            | 5047   | 0x13B7       |
| NtUserCitSetInfo                                        | 5048   | 0x13B8       |
| NtUserClearForeground                                   | 5049   | 0x13B9       |
| NtUserClearRunWakeBit                                   | 5050   | 0x13BA       |
| NtUserClearWakeMask                                     | 5051   | 0x13BB       |
| NtUserClearWindowState                                  | 5052   | 0x13BC       |
| NtUserClipCursor                                        | 5053   | 0x13BD       |
| NtUserCloseClipboard                                    | 4284   | 0x10BC       |
| NtUserCloseDesktop                                      | 4249   | 0x1099       |
| NtUserCloseWindowStation                                | 4263   | 0x10A7       |
| NtUserCompositionInputSinkLuidFromPoint                 | 5054   | 0x13BE       |
| NtUserCompositionInputSinkViewInstanceIdFromPoint       | 5055   | 0x13BF       |
| NtUserConfigureActivationObject                         | 5056   | 0x13C0       |
