[Syscall Table from C:\Windows\System32\ntdll.dll]

---------------------------------------------------------------------------------
| Syscall Name                                          | Number | Number (hex) |
| NtQueryOpenSubKeys                                    | 353    | 0x0161       |
| NtQueryOpenSubKeysEx                                  | 354    | 0x0162       |
| NtQueryPerformanceCounter                             | 49     | 0x0031       |
| NtQueryPortInformationProcess                         | 355    | 0x0163       |
| NtQueryQuotaInformationFile                           | 356    | 0x0164       |
| NtQuerySection                                        | 81     | 0x0051       |
| NtQuerySecurityAttributesToken                        | 357    | 0x0165       |
| NtQuerySecurityObject                                 | 358    | 0x0166       |
| NtQuerySecurityPolicy                                 | 359    | 0x0167       |
| NtQuerySemaphore                                      | 360    | 0x0168       |
| NtQuerySymbolicLinkObject                             | 361    | 0x0169       |
| NtQuerySystemEnvironmentValue                         | 362    | 0x016A       |
| NtQuerySystemEnvironmentValueEx                       | 363    | 0x016B       |
| NtQuerySystemInformation                              | 54     | 0x0036       |
| NtQuerySystemInformationEx                            | 364    | 0x016C       |
| NtQueryTimer                                          | 56     | 0x0038       |
| NtQueryTimerResolution                                | 365    | 0x016D       |
| NtQueryValueKey                                       | 23     | 0x0017       |
| NtQueryVirtualMemory                                  | 35     | 0x0023       |
| NtQueryVolumeInformationFile                          | 73     | 0x0049       |
| NtQueryWnfStateData                                   | 366    | 0x016E       |
| NtQueryWnfStateNameInformation                        | 367    | 0x016F       |
| NtQueueApcThread                                      | 69     | 0x0045       |
| NtQueueApcThreadEx                                    | 368    | 0x0170       |
| NtQueueApcThreadEx2                                   | 369    | 0x0171       |
| NtRaiseException                                      | 370    | 0x0172       |
| NtRaiseHardError                                      | 371    | 0x0173       |
| NtReadFile                                            | 6      | 0x0006       |
| NtReadFileScatter                                     | 46     | 0x002E       |
| NtReadOnlyEnlistment                                  | 372    | 0x0174       |
| NtReadRequestData                                     | 84     | 0x0054       |
| NtReadVirtualMemory                                   | 63     | 0x003F       |
| NtReadVirtualMemoryEx                                 | 373    | 0x0175       |
| NtRecoverEnlistment                                   | 374    | 0x0176       |
| NtRecoverResourceManager                              | 375    | 0x0177       |
| NtRecoverTransactionManager                           | 376    | 0x0178       |
| NtRegisterProtocolAddressInformation                  | 377    | 0x0179       |
| NtRegisterThreadTerminatePort                         | 378    | 0x017A       |
| NtReleaseKeyedEvent                                   | 379    | 0x017B       |
| NtReleaseMutant                                       | 32     | 0x0020       |
| NtReleaseSemaphore                                    | 10     | 0x000A       |
| NtReleaseWorkerFactoryWorker                          | 380    | 0x017C       |
| NtRemoveIoCompletion                                  | 9      | 0x0009       |
| NtRemoveIoCompletionEx                                | 381    | 0x017D       |
| NtRemoveProcessDebug                                  | 382    | 0x017E       |
| NtRenameKey                                           | 383    | 0x017F       |
| NtRenameTransactionManager                            | 384    | 0x0180       |
| NtReplaceKey                                          | 385    | 0x0181       |
| NtReplacePartitionUnit                                | 386    | 0x0182       |
| NtReplyPort                                           | 12     | 0x000C       |
| NtReplyWaitReceivePort                                | 11     | 0x000B       |
| NtReplyWaitReceivePortEx                              | 43     | 0x002B       |
| NtReplyWaitReplyPort                                  | 387    | 0x0183       |
| NtRequestPort                                         | 388    | 0x0184       |
| NtRequestWaitReplyPort                                | 34     | 0x0022       |
| NtResetEvent                                          | 389    | 0x0185       |
| NtResetWriteWatch                                     | 390    | 0x0186       |
| NtRestoreKey                                          | 391    | 0x0187       |
| NtResumeProcess                                       | 392    | 0x0188       |
| NtResumeThread                                        | 82     | 0x0052       |
| NtRevertContainerImpersonation                        | 393    | 0x0189       |
| NtRollbackComplete                                    | 394    | 0x018A       |
| NtRollbackEnlistment                                  | 395    | 0x018B       |
| NtRollbackRegistryTransaction                         | 396    | 0x018C       |
| NtRollbackTransaction                                 | 397    | 0x018D       |
| NtRollforwardTransactionManager                       | 398    | 0x018E       |
| NtSaveKey                                             | 399    | 0x018F       |
| NtSaveKeyEx                                           | 400    | 0x0190       |
| NtSaveMergedKeys                                      | 401    | 0x0191       |
| NtSecureConnectPort                                   | 402    | 0x0192       |
| NtSerializeBoot                                       | 403    | 0x0193       |
| NtSetBootEntryOrder                                   | 404    | 0x0194       |
| NtSetBootOptions                                      | 405    | 0x0195       |
| NtSetCachedSigningLevel                               | 406    | 0x0196       |
| NtSetCachedSigningLevel2                              | 407    | 0x0197       |
| NtSetContextThread                                    | 408    | 0x0198       |
| NtSetDebugFilterState                                 | 409    | 0x0199       |
| NtSetDefaultHardErrorPort                             | 410    | 0x019A       |
| NtSetDefaultLocale                                    | 411    | 0x019B       |
| NtSetDefaultUILanguage                                | 412    | 0x019C       |
| NtSetDriverEntryOrder                                 | 413    | 0x019D       |
| NtSetEaFile                                           | 414    | 0x019E       |
| NtSetEvent                                            | 14     | 0x000E       |
| NtSetEventBoostPriority                               | 45     | 0x002D       |
| NtSetHighEventPair                                    | 415    | 0x019F       |
| NtSetHighWaitLowEventPair                             | 416    | 0x01A0       |
| NtSetIRTimer                                          | 417    | 0x01A1       |
| NtSetInformationCpuPartition                          | 418    | 0x01A2       |
| NtSetInformationDebugObject                           | 419    | 0x01A3       |
| NtSetInformationEnlistment                            | 420    | 0x01A4       |
| NtSetInformationFile                                  | 39     | 0x0027       |
| NtSetInformationIoRing                                | 421    | 0x01A5       |
| NtSetInformationJobObject                             | 422    | 0x01A6       |
| NtSetInformationKey                                   | 423    | 0x01A7       |
| NtSetInformationObject                                | 92     | 0x005C       |
| NtSetInformationProcess                               | 28     | 0x001C       |
| NtSetInformationResourceManager                       | 424    | 0x01A8       |
| NtSetInformationSymbolicLink                          | 425    | 0x01A9       |
| NtSetInformationThread                                | 13     | 0x000D       |
| NtSetInformationToken                                 | 426    | 0x01AA       |
| NtSetInformationTransaction                           | 427    | 0x01AB       |
| NtSetInformationTransactionManager                    | 428    | 0x01AC       |
| NtSetInformationVirtualMemory                         | 429    | 0x01AD       |
| NtSetInformationWorkerFactory                         | 430    | 0x01AE       |
| NtSetIntervalProfile                                  | 431    | 0x01AF       |
| NtSetIoCompletion                                     | 432    | 0x01B0       |
| NtSetIoCompletionEx                                   | 433    | 0x01B1       |
| NtSetLdtEntries                                       | 434    | 0x01B2       |
